уникальный номер,направление 1,направление 2,направление 3,адрес площадки,округ площадки,район площадки,расписание в активных периодах,расписание в плановом периоде,exp_date,exp_date2,geo
801369935,Спецпроект / Московский театрал,Московский театрал,Московский театрал,"город Москва, улица Маршала Тухачевского, дом 20, корпус 1",Северо-Западный административный округ,муниципальный округ Хорошево-Мневники,"c 10.01.2023 по 21.12.2023, Вт., Ср. 12:00-14:00, без перерыва",,2023-12-21,,55.78363 37.479924
801368591,Спецпроект / Интеллектуальный клуб,Интеллектуальный клуб. Клубная работа,Дискуссионный клуб,"г. Москва, Ломоносовский проспект, дом 27, корпус 4",Западный административный округ,муниципальный округ Раменки,"c 17.01.2023 по 19.12.2023, Вт. 16:30-18:30, без перерыва",,2023-12-19,,55.700603 37.519449
801372393,Спецпроект / Тренировки долголетия (спецпроект по медицинской реабилитации),Тренировки долголетия (спецпроект по медицинской реабилитации),Тренировки долголетия (спецпроект по медицинской реабилитации),"город Москва, Ладожская улица, дом 4-6, строение 1",Центральный административный округ,муниципальный округ Басманный,"c 16.01.2023 по 31.12.2023, Пн., Ср. 14:00-15:00, без перерыва",,2023-12-31,,55.77113 37.68147
801372395,Спецпроект / Тренировки долголетия (спецпроект по медицинской реабилитации),Тренировки долголетия (спецпроект по медицинской реабилитации),Тренировки долголетия (спецпроект по медицинской реабилитации),"город Москва, Ладожская улица, дом 4-6, строение 1",Центральный административный округ,муниципальный округ Басманный,"c 17.01.2023 по 31.12.2023, Вт., Чт. 14:00-15:00, без перерыва",,2023-12-31,,55.77113 37.68147
801372397,Спецпроект / Тренировки долголетия (спецпроект по медицинской реабилитации),Тренировки долголетия (спецпроект по медицинской реабилитации),Тренировки долголетия (спецпроект по медицинской реабилитации),"город Москва, Ладожская улица, дом 4-6, строение 1",Центральный административный округ,муниципальный округ Басманный,"c 18.01.2023 по 31.12.2023, Ср., Пт. 13:00-14:00, без перерыва",,2023-12-31,,55.77113 37.68147
801363649,Спецпроект / Тренировки долголетия (спецпроект по медицинской реабилитации),Тренировки долголетия (спецпроект по медицинской реабилитации),Тренировки долголетия (спецпроект по медицинской реабилитации),"город Москва, улица Руднёвка, дом 8",Восточный административный округ,муниципальный округ Косино-Ухтомский,"c 09.01.2023 по 31.12.2023, Пн., Ср. 14:00-15:00, без перерыва",,2023-12-31,,55.71592 37.889861
801363654,Спецпроект / Тренировки долголетия (спецпроект по медицинской реабилитации),Тренировки долголетия (спецпроект по медицинской реабилитации),Тренировки долголетия (спецпроект по медицинской реабилитации),"город Москва, улица Руднёвка, дом 8",Восточный административный округ,муниципальный округ Косино-Ухтомский,"c 09.01.2023 по 31.12.2023, Пн., Ср. 15:00-16:00, без перерыва",,2023-12-31,,55.71592 37.889861
801371177,Спецпроект / Тренировки долголетия (спецпроект по медицинской реабилитации),Тренировки долголетия (спецпроект по медицинской реабилитации),Тренировки долголетия (спецпроект по медицинской реабилитации),"город Москва, улица Руднёвка, дом 8",Восточный административный округ,муниципальный округ Косино-Ухтомский,"c 10.01.2023 по 31.12.2023, Вт., Чт. 14:00-15:00, без перерыва",,2023-12-31,,55.71592 37.889861
801371230,Спецпроект / Тренировки долголетия (спецпроект по медицинской реабилитации),Тренировки долголетия (спецпроект по медицинской реабилитации),Тренировки долголетия (спецпроект по медицинской реабилитации),"город Москва, улица Руднёвка, дом 8",Восточный административный округ,муниципальный округ Косино-Ухтомский,"c 10.01.2023 по 31.12.2023, Вт., Чт. 15:00-16:00, без перерыва",,2023-12-31,,55.71592 37.889861
801363199,Спецпроект / Тренировки долголетия (спецпроект по медицинской реабилитации),Тренировки долголетия (спецпроект по медицинской реабилитации),Тренировки долголетия (спецпроект по медицинской реабилитации),"г. Москва, улица Борисовские Пруды, дом 8, корпус 3",Южный административный округ,муниципальный округ Братеево,"c 09.01.2023 по 31.12.2023, Пн., Ср. 10:00-11:00, без перерыва",,2023-12-31,,55.632972 37.73827
801363200,Спецпроект / Тренировки долголетия (спецпроект по медицинской реабилитации),Тренировки долголетия (спецпроект по медицинской реабилитации),Тренировки долголетия (спецпроект по медицинской реабилитации),"г. Москва, улица Борисовские Пруды, дом 8, корпус 3",Южный административный округ,муниципальный округ Братеево,"c 09.01.2023 по 31.12.2023, Пн., Ср. 11:15-12:15, без перерыва",,2023-12-31,,55.632972 37.73827
801370931,Спецпроект / Московский театрал,Московский театрал,Московский театрал,"город Москва, Люблинская улица, дом 149",Юго-Восточный административный округ,муниципальный округ Люблино,"c 10.01.2023 по 28.12.2023, Вт., Чт. 09:00-11:00, без перерыва",,2023-12-28,,55.663217 37.742771
801370935,Спецпроект / Московский театрал,Московский театрал,Московский театрал,"город Москва, Люблинская улица, дом 149",Юго-Восточный административный округ,муниципальный округ Люблино,"c 10.01.2023 по 29.12.2023, Вт., Чт. 11:30-13:30, без перерыва",,2023-12-29,,55.663217 37.742771
801364674,Спецпроект / Тренировки долголетия (спецпроект по медицинской реабилитации),Тренировки долголетия (спецпроект по медицинской реабилитации),Тренировки долголетия (спецпроект по медицинской реабилитации),"город Москва, Алма-Атинская улица, дом 3, корпус 3, г. Москва, Алма-Атинская улица, дом 10, корпус 3",Южный административный округ,муниципальный округ Братеево,"c 10.01.2023 по 31.12.2023, Вт., Чт. 10:00-11:00, без перерыва",,2023-12-31,,55.642184 37.772038
801364668,Спецпроект / Тренировки долголетия (спецпроект по медицинской реабилитации),Тренировки долголетия (спецпроект по медицинской реабилитации),Тренировки долголетия (спецпроект по медицинской реабилитации),"город Москва, Алма-Атинская улица, дом 3, корпус 3, г. Москва, Алма-Атинская улица, дом 10, корпус 3",Южный административный округ,муниципальный округ Братеево,"c 10.01.2023 по 31.12.2023, Вт., Чт. 11:15-12:15, без перерыва",,2023-12-31,,55.642184 37.772038
801363053,Спецпроект / Московский театрал,Московский театрал,Московский театрал,"город Москва, улица Богданова, дом 56",Западный административный округ,муниципальный округ Солнцево,"c 11.01.2023 по 20.12.2023, Ср., Пт. 09:00-11:00, без перерыва",,2023-12-20,,55.648631 37.393793
801363461,Спецпроект / Тренировки долголетия (спецпроект по медицинской реабилитации),Тренировки долголетия (спецпроект по медицинской реабилитации),Тренировки долголетия (спецпроект по медицинской реабилитации),"город Москва, Медынская улица, дом 7, корпус 1",Южный административный округ,муниципальный округ Бирюлево Западное,"c 09.01.2023 по 31.12.2023, Пн., Ср. 13:00-14:00, без перерыва",,2023-12-31,,55.584573 37.649112
801364886,Спецпроект / Тренировки долголетия (спецпроект по медицинской реабилитации),Тренировки долголетия (спецпроект по медицинской реабилитации),Тренировки долголетия (спецпроект по медицинской реабилитации),"город Москва, Медынская улица, дом 7, корпус 1",Южный административный округ,муниципальный округ Бирюлево Западное,"c 10.01.2023 по 24.12.2023, Вт., Чт. 13:00-14:00, без перерыва",,2023-12-24,,55.584573 37.649112
801363457,Спецпроект / Тренировки долголетия (спецпроект по медицинской реабилитации),Тренировки долголетия (спецпроект по медицинской реабилитации),Тренировки долголетия (спецпроект по медицинской реабилитации),"город Москва, Медынская улица, дом 7, корпус 1",Южный административный округ,муниципальный округ Бирюлево Западное,"c 09.01.2023 по 24.12.2023, Пн., Ср. 11:30-12:30, без перерыва",,2023-12-24,,55.584573 37.649112
801364882,Спецпроект / Тренировки долголетия (спецпроект по медицинской реабилитации),Тренировки долголетия (спецпроект по медицинской реабилитации),Тренировки долголетия (спецпроект по медицинской реабилитации),"город Москва, Медынская улица, дом 7, корпус 1",Южный административный округ,муниципальный округ Бирюлево Западное,"c 10.01.2023 по 24.12.2023, Вт., Чт. 11:30-12:30, без перерыва",,2023-12-24,,55.584573 37.649112
801363056,Спецпроект / Московский театрал,Московский театрал,Московский театрал,"город Москва, улица Богданова, дом 56",Западный административный округ,муниципальный округ Солнцево,"c 11.01.2023 по 20.12.2023, Ср., Пт. 11:30-13:30, без перерыва",,2023-12-20,,55.648631 37.393793
801365359,Спецпроект / Московский театрал,Московский театрал,Московский театрал,"город Москва, улица Шаболовка, дом 44",Южный административный округ,муниципальный округ Донской,"c 09.01.2023 по 20.12.2023, Ср. 15:00-17:00, без перерыва; c 09.01.2023 по 20.12.2023, Пн. 10:00-12:00, без перерыва",,2023-12-20,,55.715383 37.606927
801366985,Спецпроект / Московский театрал,Московский театрал,Московский театрал,"г. Москва, улица Маршала Рыбалко, дом 10, город Москва, Живописная улица, дом 30, корпус 2",Северо-Западный административный округ,муниципальный округ Щукино,"c 09.01.2023 по 21.11.2023, Пн., Пт. 10:00-12:00, без перерыва",,2023-11-21,,55.792053 37.455705
801372195,Творчество,Домоводство,Кулинарные курсы,"г. Москва, проспект Будённого, дом 26, корпус 2",Восточный административный округ,муниципальный округ Соколиная Гора,"c 11.01.2023 по 30.06.2023, Ср., Пт. 09:00-11:00, без перерыва",,2023-06-30,,55.763817 37.732081
801372204,Рисование,Рисование,Различные техники рисования,"г. Москва, проспект Будённого, дом 26, корпус 2",Восточный административный округ,муниципальный округ Соколиная Гора,"c 10.01.2023 по 30.06.2023, Вт., Ср. 14:00-16:00, без перерыва",,2023-06-30,,55.763817 37.732081
801372203,Образование,Английский язык,Английский язык,"г. Москва, проспект Будённого, дом 26, корпус 2",Восточный административный округ,муниципальный округ Соколиная Гора,"c 14.03.2023 по 30.06.2023, Пн., Ср. 12:00-14:00, без перерыва",,2023-06-30,,55.763817 37.732081
801372201,Физическая активность,"Фитнес, тренажеры",Пилатес,"г. Москва, проспект Будённого, дом 26, корпус 2",Восточный административный округ,муниципальный округ Соколиная Гора,"c 09.01.2023 по 30.06.2023, Пн., Ср. 12:00-13:00, без перерыва",,2023-06-30,,55.763817 37.732081
801372166,Физическая активность,"Фитнес, тренажеры",Пилатес,"г. Москва, проспект Будённого, дом 26, корпус 2",Восточный административный округ,муниципальный округ Соколиная Гора,"c 09.01.2023 по 30.06.2023, Пн., Ср. 10:00-11:00, без перерыва",,2023-06-30,,55.763817 37.732081
801364917,Танцы,Танцы,Танцы для всех,"город Москва, Кутузовский проспект, дом 36, строение 5",Западный административный округ,муниципальный округ Дорогомилово,"c 10.01.2023 по 31.12.2023, Вт., Чт. 09:00-10:00, без перерыва",,2023-12-31,,55.740254 37.528379
801370301,Танцы,Танцы,Танцы для всех,"город Москва, 6-я улица Новые Сады, дом 2, корпус 1",Западный административный округ,муниципальный округ Ново-Переделкино,"c 09.01.2023 по 31.12.2023, Пн., Чт. 13:00-14:00, без перерыва",,2023-12-31,,55.651663 37.347377
801364020,Танцы,Танцы,Танцы для всех,"г. Москва, Ленинский проспект, дом 30",Южный административный округ,муниципальный округ Донской,"c 08.04.2023 по 31.12.2023, Пн., Ср. 10:00-11:00, без перерыва",,2023-12-31,,55.710641 37.58385
801369736,Физическая активность,ОФП,Физкультурно-оздоровительные занятия,"город Москва, Профсоюзная улица, дом 154, корпус 7",Юго-Западный административный округ,муниципальный округ Теплый Стан,"c 10.01.2023 по 25.12.2023, Вт. 16:30-18:30, без перерыва",,2023-12-25,,55.624012 37.498995
801366678,Физическая активность,"Фитнес, тренажеры",Фитнес,"город Москва, Харьковский проезд, дом 5А, город Москва, Харьковский проезд, дом 5А",Южный административный округ,муниципальный округ Бирюлево Западное,"c 17.01.2023 по 25.12.2023, Сб. 10:00-12:00, без перерыва",,2023-12-25,,55.593655 37.641962
801366680,Физическая активность,Спортивные игры,Настольный теннис,"город Москва, Харьковский проезд, дом 5А",Южный административный округ,муниципальный округ Бирюлево Западное,"c 14.01.2023 по 25.12.2023, Сб. 12:00-14:00, без перерыва",,2023-12-25,,55.593655 37.641962
801369461,Физическая активность,Спортивные игры,Настольный теннис,"город Москва, Ореховый бульвар, дом 22",Южный административный округ,муниципальный округ Зябликово,"c 14.01.2023 по 25.12.2023, Сб. 11:15-13:15, без перерыва",,2023-12-25,,55.612568 37.736249
801365567,Физическая активность,ОФП,ОФП,"г. Москва, 7-я улица Текстильщиков, дом 16, строение 1",Юго-Восточный административный округ,муниципальный округ Текстильщики,"c 12.01.2023 по 25.12.2023, Чт. 15:00-17:00, без перерыва",,2023-12-25,,55.695362 37.747217
801369723,Образование,Английский язык,Английский язык для начинающих,"город Москва, улица Шкулёва, дом 13/25, строение 2",Юго-Восточный административный округ,муниципальный округ Текстильщики,"c 10.01.2023 по 25.12.2023, Вт. 15:00-17:00, без перерыва",,2023-12-25,,55.693723 37.745187
801364216,Спецпроект / Московский театрал,Московский театрал,Московский театрал,"город Москва, Борисовский проезд, дом 22, корпус 1, строение 2",Южный административный округ,муниципальный округ Орехово-Борисово Северное,"c 09.01.2023 по 24.12.2023, Чт. 12:00-14:00, без перерыва; c 09.01.2023 по 24.12.2023, Пн. 15:00-17:00, без перерыва",,2023-12-24,,55.62419 37.725801
801370196,Творчество,Домоводство,Дизайн интерьера,"город Москва, Люблинская улица, дом 131",Юго-Восточный административный округ,муниципальный округ Люблино,"c 10.01.2023 по 25.12.2023, Вт. 10:00-12:00, без перерыва",,2023-12-25,,55.671163 37.741962
801369703,Творчество,Художественно-прикладное творчество,"Керамика (глина, тестопластика)","город Москва, Люблинская улица, дом 131",Юго-Восточный административный округ,муниципальный округ Люблино,"c 25.04.2023 по 25.12.2023, Вт. 14:25-16:25, без перерыва",,2023-12-25,,55.671163 37.741962
801371422,Творчество,Художественно-прикладное творчество,"Керамика (глина, тестопластика)","город Москва, Люблинская улица, дом 131",Юго-Восточный административный округ,муниципальный округ Люблино,"c 10.01.2023 по 25.12.2023, Вт. 14:25-16:25, без перерыва",,2023-12-25,,55.671163 37.741962
801366440,Рисование,Рисование,Различные техники рисования,"город Москва, Люблинская улица, дом 131",Юго-Восточный административный округ,муниципальный округ Люблино,"c 11.01.2023 по 25.12.2023, Ср. 16:00-18:00, без перерыва",,2023-12-25,,55.671163 37.741962
801366051,Творчество,Художественно-прикладное творчество,Витражное искусство,"город Москва, Люблинская улица, дом 131",Юго-Восточный административный округ,муниципальный округ Люблино,"c 07.02.2023 по 25.12.2023, Чт. 14:25-16:25, без перерыва",,2023-12-25,,55.671163 37.741962
801365948,Спецпроект / Московский театрал,Московский театрал,Московский театрал,"г. Москва, Чертановская улица, дом 41, корпус 3, строение 2",Южный административный округ,муниципальный округ Чертаново Центральное,"c 06.01.2023 по 24.12.2023, Пт. 10:00-12:00, без перерыва",,2023-12-24,,55.608511 37.595438
801363660,Физическая активность,Спортивные игры,Настольный теннис,"город Москва, 1-я Мясниковская улица, дом 16",Восточный административный округ,муниципальный округ Богородское,"c 09.01.2023 по 31.12.2023, Пн., Ср. 18:15-20:15, без перерыва",,2023-12-31,,55.816677 37.707045
